english|russian|source
particularly keen on|особенно увлекаться чем-то|Lesson 1 - Зависимые предлоги с прилагательными.md
concerning|касательно|Lesson 1 - Зависимые предлоги с прилагательными.md
closely|тесно|Lesson 1 - Зависимые предлоги с прилагательными.md
related to each other|связаны с друг-другом|Lesson 1 - Зависимые предлоги с прилагательными.md
connected with each other|связаны с друг-другом|Lesson 1 - Зависимые предлоги с прилагательными.md
familiar to|знаком кому-то|Lesson 1 - Зависимые предлоги с прилагательными.md
get used to|привыкнуть к чему-то|Lesson 1 - Зависимые предлоги с прилагательными.md
polito to|вежлив с|Lesson 2 - Зависимые предлоги с прилагательными 2.md
harm|вред|Lesson 2 - Зависимые предлоги с прилагательными 2.md
amazed by / at|поражен чем-то|Lesson 2 - Зависимые предлоги с прилагательными 2.md
satistfied with|удовлетворен чем-то|Lesson 2 - Зависимые предлоги с прилагательными 2.md
dissatistfied with|не удовлетворен чем-то|Lesson 2 - Зависимые предлоги с прилагательными 2.md
inspired by|вдохновлен чем-то|Lesson 2 - Зависимые предлоги с прилагательными 2.md
surprised by / at|удивлен чем-то|Lesson 2 - Зависимые предлоги с прилагательными 2.md
grateful|благодарный|Lesson 3 - Зависимые предлоги с прилагательными 3.md
to be grateful to|быть благодарным к кому-то|Lesson 3 - Зависимые предлоги с прилагательными 3.md
present at|присутствующий где-то|Lesson 3 - Зависимые предлоги с прилагательными 3.md
nice of|мило с чьей -то стороны|Lesson 3 - Зависимые предлоги с прилагательными 3.md
get acquainted with|познакомиться с кем-то|Lesson 3 - Зависимые предлоги с прилагательными 3.md
to be acquainted with|быть знаком с кем-то|Lesson 3 - Зависимые предлоги с прилагательными 3.md
answer something|отчечать на что-то|Lesson 4 - Зависимые предлоги с прилагательными 4.md
explain to|обьяснять кому-то|Lesson 4 - Зависимые предлоги с прилагательными 4.md
arrive|прибывать, приезжать|Lesson 4 - Зависимые предлоги с прилагательными 4.md
influence|влиять , влиять на, повлиять на|Lesson 4 - Зависимые предлоги с прилагательными 4.md
look for|искать|Lesson 4 - Зависимые предлоги с прилагательными 4.md
in the end|в конце|Lesson 4 - Зависимые предлоги с прилагательными 4.md
in the beginning|в начале|Lesson 4 - Зависимые предлоги с прилагательными 4.md
at the end of something|в конце чего-то|Lesson 4 - Зависимые предлоги с прилагательными 4.md
at the end of beginning|в начале чего-то|Lesson 4 - Зависимые предлоги с прилагательными 4.md
lead to|привести к чему-то|Lesson 4 - Зависимые предлоги с прилагательными 4.md
i firmly believe|я твердо верю|Lesson 4 - Зависимые предлоги с прилагательными 4.md
attitude to / towards|отношение к|Lesson 5 - Зависимые предлоги с существительными.md
influence something|влиять на что-то - глагол|Lesson 5 - Зависимые предлоги с существительными.md
influence on something|влияние на что-то - существительнон|Lesson 5 - Зависимые предлоги с существительными.md
lack something|не хватать чего-то|Lesson 5 - Зависимые предлоги с существительными.md
a lack something|недостаток, нехватка чего-то|Lesson 5 - Зависимые предлоги с существительными.md
apologise for|извинятся за|Lesson 5 - Зависимые предлоги с существительными.md
divide into|разделять на|Lesson 5 - Зависимые предлоги с существительными.md
demand|спрос|Lesson 5 - Зависимые предлоги с существительными.md
quote|цитата|Lesson 5 - Зависимые предлоги с существительными.md
source|источник|Lesson 5 - Зависимые предлоги с существительными.md
way of|способ чего-то|Lesson 5 - Зависимые предлоги с существительными.md
disagree on|не соглашаться по поводу чего-то|Lesson 10 - 320 зависимых предлогов.md
advantages of|преимущество чего-то|Lesson 10 - 320 зависимых предлогов.md
disadvantages of|недостатки чего-то|Lesson 10 - 320 зависимых предлогов.md
compensate for|компенсировать что-то|Lesson 10 - 320 зависимых предлогов.md
a growing demand|растущий спрос|Lesson 10 - 320 зависимых предлогов.md
an increasing demand|растущий спрос|Lesson 10 - 320 зависимых предлогов.md
apologize to someone|извинять перед кем-то|Lesson 10 - 320 зависимых предлогов.md
apologise for something|извинять за что-то|Lesson 10 - 320 зависимых предлогов.md
apologise for doing something|извинять за что-то|Lesson 10 - 320 зависимых предлогов.md
interfere in|вмешиваться во что-то|Lesson 10 - 320 зависимых предлогов.md
cure of|излечить от чего-то|Lesson 10 - 320 зависимых предлогов.md
get bored with|надоело, наскучило|Lesson 11 - 320 зависимых предлогов.md
familiar to someone|знаком кому-то|Lesson 11 - 320 зависимых предлогов.md
optimistic about|оптимистичный на счет чего-то|Lesson 11 - 320 зависимых предлогов.md
surprised by/at|удивлен чем-то|Lesson 8 - 320 зависимых предлогов.md
punctual|пунктуальный|Lesson 8 - 320 зависимых предлогов.md
punctuality|пунктуальность|Lesson 8 - 320 зависимых предлогов.md
absorbed in|поглощен чем-то|Lesson 8 - 320 зависимых предлогов.md
totally absorbed|полностью поглощен|Lesson 8 - 320 зависимых предлогов.md
engrossed in|поглощен чем-то|Lesson 8 - 320 зависимых предлогов.md
register for|регистрироваться на что-то|Lesson 8 - 320 зависимых предлогов.md
further cooperation|дальнейшее сотрудинечество|Lesson 9 - 320 зависимых предлогов.md
unforeseen|непредвиденный|Lesson 9 - 320 зависимых предлогов.md
circumstances|обстоятельства|Lesson 9 - 320 зависимых предлогов.md
occupied with|занят кем-то|Lesson 9 - 320 зависимых предлогов.md
significant|значительный|Lesson 9 - 320 зависимых предлогов.md
substantial|существенный|Lesson 9 - 320 зависимых предлогов.md
accuse of|обвинять в чем-то|Lesson 9 - 320 зависимых предлогов.md
unjustly|несправедливо|Lesson 9 - 320 зависимых предлогов.md
resistance to|сопровивление чему-то|Lesson 9 - 320 зависимых предлогов.md
